ts	imei	mwra	c.dogalize	c.android.chrome	c.katana	c.android.gm	c.android.youtube	c.android.vending	c.updateassist	c.UCMobile.x86	c.UCMobile.intl	c.raider
2018-05-05 10:00:00	359043379931766007	1.00000	8.77752	11.38049	12.34407	9.92776	5.45121	38.91961	0.00350	3.07943	64.98245	1.40681
2018-05-05 10:01:00	3590433799317662089	0.00000	14.22336	10.57120	11.62779	12.58529	10.95140	59.10202	0.00018	86.13880	68.26242	45.71979
2018-05-05 10:02:00	863033069630348974	1.00000	8.54406	10.56842	11.75027	7.99912	13.79062	67.85473	0.15281	89.57752	11.52702	94.70739
2018-05-05 10:03:00	8630330696303482303	0.00000	8.45038	12.20856	12.93420	8.91733	13.61598	57.52227	0.09174	77.12259	83.83905	37.76103
2018-05-05 10:04:00	3590433799317661214	1.00000	8.43303	12.91601	6.59161	13.28375	11.84398	61.12345	0.00431	77.10114	53.79920	35.20326
2018-05-05 10:05:00	863033069630348784	0.00000	13.93960	13.13022	11.77239	5.30515	11.00060	49.44713	0.00050	8.81166	69.30596	59.43017
2018-05-05 10:06:00	863033069630348883	1.00000	6.26398	11.17567	9.86942	10.67566	6.17258	64.14018	0.00567	9.22855	8.93983	16.46339
2018-05-05 10:07:00	3590433799317662386	1.00000	9.73719	10.13528	13.30247	10.68894	13.58865	55.40703	0.27349	4.64704	42.00105	49.27911
2018-05-05 10:08:00	863033069630348040	1.00000	8.90426	14.39014	16.30725	4.37711	11.46277	51.25562	0.00017	94.75094	5.62532	37.10683
2018-05-05 10:09:00	3590433799317661693	1.00000	8.46200	15.14985	7.04956	9.56298	8.45360	29.48860	0.00151	34.96402	26.09513	20.88360
2018-05-05 10:10:00	3590433799317662295	1.00000	11.28428	10.15054	7.75149	13.91757	10.98898	73.59798	0.02871	74.88031	59.18450	30.25163
2018-05-05 10:11:00	8630330696303481347	1.00000	9.61072	12.54668	9.64217	11.92810	7.66747	59.15086	0.03159	49.59494	53.90174	59.06670
2018-05-05 10:12:00	8630330696303481057	1.00000	15.04441	8.59667	11.14381	9.64908	6.71302	66.92011	0.00006	45.79975	12.06711	99.08238
2018-05-05 10:13:00	3590433799317661347	1.00000	8.69287	10.81134	7.29471	11.27307	8.63958	62.08457	0.00225	0.49799	10.56916	71.68037
2018-05-05 10:14:00	8630330696303481461	0.00000	10.29412	9.06085	9.92144	10.64415	10.40372	54.01211	0.00011	63.38986	64.56440	41.34957
