latitude	longitude	store_name	code	location	imei
52.71083	5.74861	Emmeloord	NL	Europe/Amsterdam	8630330696303481982
58.04254	65.27258	Tavda	RU	Asia/Yekaterinburg	863033069630348024
50.75932	25.34244	Lutsk	UA	Europe/Kyiv	863033069630348503
61.72744	17.10558	Hudiksvall	SE	Europe/Stockholm	8630330696303481750
6.03333	37.55	Arba Minch	ET	Africa/Addis_Ababa	863033069630348081
-31.4488	-60.93173	Esperanza	AR	America/Argentina/Cordoba	8630330696303481081
0.76755	24.43973	Yangambi	CD	Africa/Lubumbashi	863033069630348867
41.82143	41.77921	Kobuleti	GE	Asia/Tbilisi	3590433799317662477
-2.68333	33	Usagara	TZ	Africa/Dar_es_Salaam	863033069630348115
22.83957	91.84128	Manikchari	BD	Asia/Dhaka	359043379931766064
25.49043	85.94001	Teghra	IN	Asia/Kolkata	8630330696303481958
34.63915	-120.45794	Lompoc	US	America/Los_Angeles	863033069630348826
53.83333	-2.98333	Poulton-le-Fylde	GB	Europe/London	359043379931766429
-22.92306	-53.13722	Loanda	BR	America/Sao_Paulo	3590433799317662493
50.88506	4.07601	Denderleeuw	BE	Europe/Brussels	863033069630348495
53.94313	10.30215	Bad Segeberg	DE	Europe/Berlin	3590433799317662493
39.08367	-84.50855	Covington	US	America/New_York	3590433799317662378
47.90771	106.88324	Ulan Bator	MN	Asia/Ulaanbaatar	8630330696303481552
48.8449	17.22635	Skalica	SK	Europe/Bratislava	3590433799317661420
5.84752	-5.682	Lakota	CI	Africa/Abidjan	3590433799317662261
4.92675	6.26764	Yenagoa	NG	Africa/Lagos	359043379931766320
10.13361	124.84472	Maasin	PH	Asia/Manila	3590433799317662220
32.9156	-117.14392	Mira Mesa	US	America/Los_Angeles	8630330696303481206
3.8801	-77.03116	Buenaventura	CO	America/Bogota	8630330696303482345
51.26	-2.1875	Westbury	GB	Europe/London	8630330696303482485
12.04161	75.35927	Talipparamba	IN	Asia/Kolkata	8630330696303482048
41.50343	-74.01042	Newburgh	US	America/New_York	8630330696303481818
58.23583	92.48278	Lesosibirsk	RU	Asia/Krasnoyarsk	359043379931766247
52.48173	-2.12139	Brierley Hill	GB	Europe/London	3590433799317661636
39.45621	-77.96389	Martinsburg	US	America/New_York	863033069630348669
28.90054	-81.26367	Deltona	US	America/New_York	863033069630348792
3.3285	99.1625	Tebingtinggi	ID	Asia/Jakarta	8630330696303481347
33.42585	-6.00137	Oulmes	MA	Africa/Casablanca	863033069630348941
-3.74912	-73.25383	Iquitos	PE	America/Lima	863033069630348461
31.96258	73.97117	Naushahra Virkan	PK	Asia/Karachi	863033069630348016
49.183239	15.454273	Telč	CZ	Europe/Prague	8630330696303482428
42.67164	14.01481	Roseto degli Abruzzi	IT	Europe/Rome	863033069630348735
22.75218	72.68533	Kheda	IN	Asia/Kolkata	8630330696303481990
28.92694	78.23456	Bachhraon	IN	Asia/Kolkata	863033069630348271
53.77166	38.12408	Bogoroditsk	RU	Europe/Moscow	8630330696303481263
36.75965	137.36215	Namerikawa	JP	Asia/Tokyo	863033069630348776
25.80565	68.49143	Bhit Shah	PK	Asia/Karachi	359043379931766387
37.73222	115.70111	Hengshui	CN	Asia/Shanghai	863033069630348545
