ts	imei	mwra	p.android.packageinstaller	p.android.externalstorage	p.system	p.android.chrome	p.android.settings	p.android.documentsui	p.android.gm	p.katana	p.google	p.android.gms	p.inputmethod.latin	p.process.gapps	p.olauncher	p.browser.provider	p.notifier	p.gms.persistent	p.android.defcontainer	p.android.vending	p.simulator	p.dogalize
2018-05-05 10:00:00	359043379931766007	1.00000	11.90416	11.19779	7.60383	9.18353	8.55184	11.19148	8.30220	71.02059	35.24565	52.07074	66.53657	22.62795	68.82046	5.34638	60.71954	91.44208	32.74843	72.98707	91.50713	38.12265
2018-05-05 10:01:00	3590433799317662089	0.00000	8.74523	7.65554	9.49404	8.20213	6.32215	12.33170	11.65786	49.94224	33.98371	40.80957	46.12881	1.75228	63.95436	92.52467	3.56652	54.81245	47.19235	34.25583	64.09818	74.40462
2018-05-05 10:02:00	863033069630348974	1.00000	15.68790	11.98031	12.67268	11.29634	11.47538	10.38642	9.07927	40.91094	36.75758	45.25943	58.32725	26.62538	59.50626	25.68333	95.57546	70.33923	9.74088	51.66399	6.16361	79.52068
2018-05-05 10:03:00	8630330696303482303	0.00000	15.17766	3.39842	10.01515	5.53874	3.57674	9.83642	13.01602	43.79368	24.11398	34.80335	63.78355	95.12515	36.75006	82.01474	30.62274	81.77126	27.99291	33.84844	16.02638	53.70138
2018-05-05 10:04:00	3590433799317661214	1.00000	12.11010	6.01721	7.15878	15.25489	13.88784	7.34559	7.38960	45.92319	40.94376	53.10769	48.84318	65.04820	50.38813	0.89319	56.53053	71.65832	19.58884	98.09707	93.80860	27.96079
2018-05-05 10:05:00	863033069630348784	0.00000	9.87605	14.70813	6.78135	11.78053	12.59648	15.48602	10.52874	36.83140	65.74788	46.72025	32.51309	2.30793	54.46990	57.04177	25.61828	40.91935	36.22193	68.73473	15.29537	12.37763
2018-05-05 10:06:00	863033069630348883	1.00000	12.38499	8.85538	5.16024	10.83936	9.61192	11.21953	5.80037	52.13724	60.29044	43.40389	48.03615	21.35648	46.75061	39.36359	50.84412	45.25315	49.17605	30.77996	55.19888	46.60502
2018-05-05 10:07:00	3590433799317662386	1.00000	16.27008	10.24312	12.68189	12.53620	5.92924	9.58208	12.62701	42.72854	47.16728	20.85191	55.99571	81.59994	18.86251	91.65729	82.73135	63.42168	98.21447	53.07513	0.58139	52.12302
2018-05-05 10:08:00	863033069630348040	1.00000	8.76099	7.54273	10.07809	15.28713	10.25286	7.04629	14.20670	54.11680	46.27270	44.48948	55.51716	63.88745	33.30418	67.18519	68.41978	48.86962	64.33213	64.26516	0.76102	71.43680
2018-05-05 10:09:00	3590433799317661693	1.00000	11.04750	7.56612	9.74020	13.45052	13.76106	8.87804	6.53024	60.75650	56.18892	59.64830	48.25101	21.48185	51.53245	29.23746	74.96776	23.49086	22.94730	2.47882	3.53441	88.03017
2018-05-05 10:10:00	3590433799317662295	1.00000	14.01523	8.40128	9.38147	16.44373	14.04982	6.20194	8.35495	66.52331	50.62512	40.95241	42.69484	86.98733	72.37326	46.57281	61.30876	8.43844	29.67024	23.59636	10.31625	56.55045
2018-05-05 10:11:00	8630330696303481347	1.00000	14.11132	9.98773	12.84619	12.30169	12.63141	9.97566	12.05101	38.61024	51.13978	37.41509	46.38365	88.80851	11.57787	27.99396	62.68051	81.59263	86.49685	88.43580	36.03950	62.92846
2018-05-05 10:12:00	8630330696303481057	1.00000	7.51850	10.01914	7.74147	13.36942	7.72239	9.59003	15.19985	59.22122	45.92629	51.74590	39.52609	22.15015	29.30862	75.70184	79.74181	53.99925	43.06666	95.94214	22.20205	53.57729
2018-05-05 10:13:00	3590433799317661347	1.00000	11.45331	9.52001	16.70562	10.11790	8.68463	12.30429	14.64728	48.29205	17.96599	22.33460	63.47975	93.11023	99.11257	1.68347	1.12288	80.58133	45.59139	96.77315	32.21078	29.02317
2018-05-05 10:14:00	8630330696303481461	0.00000	8.03449	13.99844	8.94111	13.39904	5.67271	11.76558	13.91827	50.67930	67.05607	44.26745	49.93720	21.59692	28.50986	98.64851	94.63032	75.55368	35.11579	48.13415	87.93928	35.67996
2018-05-05 10:15:00	3590433799317661628	1.00000	12.16691	10.49302	10.55360	12.80840	13.63760	5.35304	8.06043	54.79967	41.73300	46.71711	65.85472	19.19974	49.80526	30.99454	50.18713	83.60285	5.89456	79.52908	64.14806	88.32116
2018-05-05 10:16:00	863033069630348461	1.00000	12.09553	6.91883	5.75548	14.40118	13.28076	7.95535	8.18563	52.87510	57.09331	35.64609	36.68224	41.39499	78.60006	78.02625	29.57783	73.41754	54.68976	61.08619	28.47633	25.37229
2018-05-05 10:17:00	8630330696303481438	1.00000	12.21426	9.08498	13.04434	9.19339	7.12497	11.66725	14.64161	54.56067	50.98088	65.20820	21.85138	46.07906	73.99177	17.07747	55.05188	88.16686	9.85992	34.09987	10.57618	91.90919
2018-05-05 10:18:00	359043379931766932	0.00000	6.88785	8.98740	6.73807	9.15004	11.98547	9.63467	10.75269	52.41877	48.10508	43.73363	41.48793	95.79966	16.04913	75.41827	84.17661	54.36584	2.67621	50.09251	93.63565	70.78105
2018-05-05 10:19:00	863033069630348578	1.00000	9.81398	7.83958	7.54224	12.20217	14.02973	7.71052	5.96213	41.24445	30.55601	54.03444	64.43128	11.63444	44.58166	10.72583	90.10858	69.53651	15.48707	72.62202	12.93043	56.66689
2018-05-05 10:20:00	8630330696303481479	1.00000	14.68294	9.14071	7.98677	11.15201	10.96147	10.72597	10.57250	41.77746	69.19641	20.84623	61.76731	77.83880	70.03329	64.69167	6.04804	71.23232	0.01797	58.44855	15.23224	2.62712
2018-05-05 10:21:00	359043379931766338	0.00000	10.69073	8.26291	11.42329	8.43074	6.84609	14.55847	12.87803	34.07923	82.25698	22.42718	38.16961	26.48352	15.92033	21.57148	92.20283	98.65231	22.58884	28.66904	35.84009	3.41922
2018-05-05 10:22:00	8630330696303481305	0.00000	11.17430	5.95779	11.64899	14.46713	9.96478	5.91592	9.71264	47.96330	51.02000	32.09264	32.01794	87.79047	38.70519	24.72973	58.78023	88.05270	3.81118	84.08736	83.04937	11.70495
2018-05-05 10:23:00	8630330696303481651	0.00000	9.49753	13.35640	7.52609	11.37200	5.89961	13.24941	13.98054	46.62514	38.54540	35.19461	55.97557	83.31820	21.57126	79.98748	70.54666	68.25185	15.23224	42.23646	58.51206	7.45147
2018-05-05 10:24:00	3590433799317662295	0.00000	11.83582	14.12710	7.43182	10.25711	10.50593	14.59432	9.77836	41.34570	66.77835	21.56125	43.69770	16.29298	16.82811	43.87171	1.89201	16.74320	48.44660	58.20223	86.66086	74.13177
2018-05-05 10:25:00	863033069630348610	1.00000	14.75546	9.96337	13.97757	10.99633	7.41406	11.18039	13.69596	52.43448	27.00817	36.52139	27.47605	76.75824	60.58331	41.92000	67.03974	44.54013	25.40209	24.23607	96.72576	67.31587
2018-05-05 10:26:00	863033069630348610	1.00000	8.62453	5.42305	12.32870	10.50264	10.48883	11.83137	18.54231	47.53678	33.33905	23.60151	58.82252	29.89124	13.84568	59.76895	19.11209	31.77541	74.41966	93.04587	36.64196	65.09783
2018-05-05 10:27:00	3590433799317661636	1.00000	11.99545	7.84057	8.06672	11.00737	10.30168	11.47875	16.25745	37.65625	60.16775	53.90422	64.96263	68.85682	14.13856	35.19189	13.71408	62.07121	45.88684	46.81781	92.42316	77.07430
2018-05-05 10:28:00	3590433799317662477	1.00000	10.31027	7.33477	5.57675	10.07686	9.82067	14.67343	9.95716	44.23897	52.85173	45.90765	27.89003	22.98454	83.11728	98.65087	50.79674	0.83999	57.76341	59.43387	15.82290	93.20114
2018-05-05 10:29:00	359043379931766718	1.00000	12.69053	7.17543	8.79576	13.53336	13.69178	8.31200	7.32460	23.92904	44.98735	59.75002	53.38988	32.27355	8.02386	38.74579	32.88600	78.51595	61.79045	59.52657	21.15701	4.15820
2018-05-05 10:30:00	359043379931766262	0.00000	9.44938	9.85947	10.70555	6.75442	8.44330	14.04426	13.73999	32.64593	51.55587	50.96661	43.37916	60.70190	34.61847	31.18169	51.77678	88.68319	37.30740	73.40681	71.15257	21.71961
