ID,Malware,DateTime,Chrome,Youtube,Dogalize,Katana,Raider,Gm,Vending,Update_assist,UCMobile_x86,UCMobile_intl
359043379931766007,1,2018-05-05 10:00:00,11.38049,5.45121,8.77752,12.34407,1.40681,9.92776,38.91961,0.0035,3.07943,64.98245
3590433799317662089,0,2018-05-05 10:01:00,10.5712,10.9514,14.22336,11.62779,45.71979,12.58529,59.10202,0.00018,86.1388,68.26242
863033069630348974,1,2018-05-05 10:02:00,10.56842,13.79062,8.54406,11.75027,94.70739,7.99912,67.85473,0.15281,89.57752,11.52702
8630330696303482303,0,2018-05-05 10:03:00,12.20856,13.61598,8.45038,12.9342,37.76103,8.91733,57.52227,0.09174,77.12259,83.83905
3590433799317661214,1,2018-05-05 10:04:00,12.91601,11.84398,8.43303,6.59161,35.20326,13.28375,61.12345,0.00431,77.10114,53.7992
863033069630348784,0,2018-05-05 10:05:00,13.13022,11.0006,13.9396,11.77239,59.43017,5.30515,49.44713,0.0005,8.81166,69.30596
863033069630348883,1,2018-05-05 10:06:00,11.17567,6.17258,6.26398,9.86942,16.46339,10.67566,64.14018,0.00567,9.22855,8.93983
3590433799317662386,1,2018-05-05 10:07:00,10.13528,13.58865,9.73719,13.30247,49.27911,10.68894,55.40703,0.27349,4.64704,42.00105
863033069630348040,1,2018-05-05 10:08:00,14.39014,11.46277,8.90426,16.30725,37.10683,4.37711,51.25562,0.00017,94.75094,5.62532
3590433799317661693,1,2018-05-05 10:09:00,15.14985,8.4536,8.462,7.04956,20.8836,9.56298,29.4886,0.00151,34.96402,26.09513
3590433799317662295,1,2018-05-05 10:10:00,10.15054,10.98898,11.28428,7.75149,30.25163,13.91757,73.59798,0.02871,74.88031,59.1845
8630330696303481347,1,2018-05-05 10:11:00,12.54668,7.66747,9.61072,9.64217,59.0667,11.9281,59.15086,0.03159,49.59494,53.90174
8630330696303481057,1,2018-05-05 10:12:00,8.59667,6.71302,15.04441,11.14381,99.08238,9.64908,66.92011,6e-05,45.79975,12.06711
