ID,Malware,DateTime,Chrome,Google,Dogalize,Katana,Gm,Vending,System,Settings,Simulator,Notifier,Gms,Gms_persistent,Document_sui,Package_installer,External_storage,InputMethod_latin,Process_gapps,OLauncher,Browser_provider,Def_container
359043379931766007,1,2018-05-05 10:00:00,9.18353,35.24565,38.12265,71.02059,8.3022,72.98707,7.60383,8.55184,91.50713,60.71954,52.07074,91.44208,11.19148,11.90416,11.19779,66.53657,22.62795,68.82046,5.34638,32.74843
3590433799317662089,0,2018-05-05 10:01:00,8.20213,33.98371,74.40462,49.94224,11.65786,34.25583,9.49404,6.32215,64.09818,3.56652,40.80957,54.81245,12.3317,8.74523,7.65554,46.12881,1.75228,63.95436,92.52467,47.19235
863033069630348974,1,2018-05-05 10:02:00,11.29634,36.75758,79.52068,40.91094,9.07927,51.66399,12.67268,11.47538,6.16361,95.57546,45.25943,70.33923,10.38642,15.6879,11.98031,58.32725,26.62538,59.50626,25.68333,9.74088
8630330696303482303,0,2018-05-05 10:03:00,5.8308399999999985,24.11398,53.70138,43.79368,13.01602,33.84844,10.01515,3.57674,16.02638,30.62274,34.80335,81.77126,9.83642,15.17766,3.429672499999998,63.78355,95.12515,36.75006,82.01474,27.99291
3590433799317661214,1,2018-05-05 10:04:00,15.25489,40.94376,27.96079,45.92319,7.3896,98.09707,7.15878,13.88784,93.8086,56.53053,53.10769,71.65832,7.34559,12.1101,6.01721,48.84318,65.0482,50.38813,0.89319,19.58884
863033069630348784,0,2018-05-05 10:05:00,11.78053,65.74788,12.37763,36.8314,10.52874,68.73473,6.78135,12.59648,15.29537,25.61828,46.72025,40.91935,15.48602,9.87605,14.70813,32.51309,2.30793,54.4699,57.04177,36.22193
863033069630348883,1,2018-05-05 10:06:00,10.83936,60.29044,46.60502,52.13724,5.80037,30.77996,5.16024,9.61192,55.19888,50.84412,43.40389,45.25315,11.21953,12.38499,8.85538,48.03615,21.35648,46.75061,39.36359,49.17605
3590433799317662386,1,2018-05-05 10:07:00,12.5362,47.16728,52.12302,42.72854,12.62701,53.07513,12.68189,5.92924,0.58139,82.73135,20.85191,63.42168,9.58208,16.27008,10.24312,55.99571,81.59994,18.86251,91.65729,98.21447
863033069630348040,1,2018-05-05 10:08:00,15.28713,46.2727,71.4368,54.1168,14.2067,64.26516,10.07809,10.25286,0.76102,68.41978,44.48948,48.86962,7.04629,8.76099,7.54273,55.51716,63.88745,33.30418,67.18519,64.33213
3590433799317661693,1,2018-05-05 10:09:00,13.45052,56.18892,88.03017,60.7565,6.53024,2.47882,9.7402,13.76106,3.53441,74.96776,59.6483,23.49086,8.87804,11.0475,7.56612,48.25101,21.48185,51.53245,29.23746,22.9473
3590433799317662295,1,2018-05-05 10:10:00,16.44373,50.62512,56.55045,66.52331,8.35495,23.59636,9.38147,14.04982,10.31625,61.30876,40.95241,8.43844,6.20194,14.01523,8.40128,42.69484,86.98733,72.37326,46.57281,29.67024
8630330696303481347,1,2018-05-05 10:11:00,12.30169,51.13978,62.92846,38.61024,12.05101,88.4358,12.84619,12.63141,36.0395,62.68051,37.41509,81.59263,9.97566,14.11132,9.98773,46.38365,88.80851,11.57787,27.99396,86.49685
8630330696303481057,1,2018-05-05 10:12:00,13.36942,45.92629,53.57729,59.22122,15.19985,95.94214,7.74147,7.72239,22.20205,79.74181,51.7459,53.99925,9.59003,7.5185,10.01914,39.52609,22.15015,29.30862,75.70184,43.06666
3590433799317661347,1,2018-05-05 10:13:00,10.1179,17.96599,29.02317,48.29205,14.64728,96.77315,16.70562,8.68463,32.21078,1.12288,22.3346,80.58133,12.30429,11.45331,9.52001,63.47975,93.11023,99.11257,1.68347,45.59139
8630330696303481461,0,2018-05-05 10:14:00,13.39904,67.05607,35.67996,50.6793,13.91827,48.13415,8.94111,5.67271,87.93928,94.63032,44.26745,75.55368,11.76558,8.03449,13.99844,49.9372,21.59692,28.50986,98.64851,35.11579
3590433799317661628,1,2018-05-05 10:15:00,12.8084,41.733,88.32116,54.79967,8.06043,79.52908,10.5536,13.6376,64.14806,50.18713,46.71711,83.60285,5.35304,12.16691,10.49302,65.85472,19.19974,49.80526,30.99454,5.89456
863033069630348461,1,2018-05-05 10:16:00,14.40118,57.09331,25.37229,52.8751,8.18563,61.08619,5.75548,13.28076,28.47633,29.57783,35.64609,73.41754,7.95535,12.09553,6.91883,36.68224,41.39499,78.60006,78.02625,54.68976
8630330696303481438,1,2018-05-05 10:17:00,9.19339,50.98088,91.90919,54.56067,14.64161,34.09987,13.04434,7.12497,10.57618,55.05188,65.2082,88.16686,11.66725,12.21426,9.08498,21.85138,46.07906,73.99177,17.07747,9.85992
359043379931766932,0,2018-05-05 10:18:00,9.15004,48.10508,70.78105,52.41877,10.75269,50.09251,6.73807,11.98547,93.63565,84.17661,43.73363,54.36584,9.63467,6.88785,8.9874,41.48793,95.79966,16.04913,75.41827,2.67621
863033069630348578,1,2018-05-05 10:19:00,12.20217,30.55601,56.66689,41.24445,5.96213,72.62202,7.54224,14.02973,12.93043,90.10858,54.03444,69.53651,7.71052,9.81398,7.83958,64.43128,11.63444,44.58166,10.72583,15.48707
8630330696303481479,1,2018-05-05 10:20:00,11.15201,69.19641,2.62712,41.77746,10.5725,58.44855,7.98677,10.96147,15.23224,6.04804,20.84623,71.23232,10.72597,14.68294,9.14071,61.76731,77.8388,70.03329,64.69167,0.01797
359043379931766338,0,2018-05-05 10:21:00,8.43074,82.25698,3.41922,34.07923,12.87803,28.66904,11.42329,6.84609,35.84009,92.20283,22.42718,98.65231,14.55847,10.69073,8.26291,38.16961,26.48352,15.92033,21.57148,22.58884
8630330696303481305,0,2018-05-05 10:22:00,14.46713,51.02,11.70495,47.9633,9.71264,84.08736,11.64899,9.96478,83.04937,58.78023,32.09264,88.0527,5.91592,11.1743,5.95779,32.01794,87.79047,38.70519,24.72973,3.81118
8630330696303481651,0,2018-05-05 10:23:00,11.372,38.5454,7.45147,46.62514,13.98054,42.23646,7.52609,5.89961,58.51206,70.54666,35.19461,68.25185,13.24941,9.49753,13.3564,55.97557,83.3182,21.57126,79.98748,15.23224
3590433799317662295,0,2018-05-05 10:24:00,10.25711,66.77835,74.13177,41.3457,9.77836,58.20223,7.43182,10.50593,86.66086,1.89201,21.56125,16.7432,14.59432,11.83582,14.1271,43.6977,16.29298,16.82811,43.87171,48.4466
863033069630348610,1,2018-05-05 10:25:00,10.99633,27.00817,67.31587,52.43448,13.69596,24.23607,13.97757,7.41406,96.72576,67.03974,36.52139,44.54013,11.18039,14.75546,9.96337,27.47605,76.75824,60.58331,41.92,25.40209
863033069630348610,1,2018-05-05 10:26:00,10.50264,33.33905,65.09783,47.53678,18.54231,93.04587,12.3287,10.48883,36.64196,19.11209,23.60151,31.77541,11.83137,8.62453,5.42305,58.82252,29.89124,13.84568,59.76895,74.41966
3590433799317661636,1,2018-05-05 10:27:00,11.00737,60.16775,77.0743,37.65625,16.25745,46.81781,8.06672,10.30168,92.42316,13.71408,53.90422,62.07121,11.47875,11.99545,7.84057,64.96263,68.85682,14.13856,35.19189,45.88684
3590433799317662477,1,2018-05-05 10:28:00,10.07686,52.85173,93.20114,44.23897,9.95716,59.43387,5.57675,9.82067,15.8229,50.79674,45.90765,0.83999,14.67343,10.31027,7.33477,27.89003,22.98454,83.11728,98.65087,57.76341
359043379931766718,1,2018-05-05 10:29:00,13.53336,44.98735,4.1582,23.92904,7.3246,59.52657,8.79576,13.69178,21.15701,32.886,59.75002,78.51595,8.312,12.69053,7.17543,53.38988,32.27355,8.02386,38.74579,61.79045
359043379931766262,0,2018-05-05 10:30:00,6.75442,51.55587,21.71961,32.64593,13.73999,73.40681,10.70555,8.4433,71.15257,51.77678,50.96661,88.68319,14.04426,9.44938,9.85947,43.37916,60.7019,34.61847,31.18169,37.3074
8630330696303482410,1,2018-05-05 10:31:00,11.08879,50.05086,21.33481,35.47606,9.52237,15.05142,10.65993,14.11822,62.3492,33.37813,39.00989,80.5615,7.17008,9.29418,9.47462,58.92929,47.79586,30.33543,78.43243,82.69142
863033069630348966,1,2018-05-05 10:32:00,13.05739,54.77377,76.12303,43.57984,11.11424,68.76448,8.64019,15.08727,76.20587,28.14702,45.99414,35.8987,8.23232,11.39567,7.1285,42.13998,64.32852,86.98152,61.95059,65.8454
8630330696303481636,0,2018-05-05 10:33:00,7.68266,68.03639,4.39272,60.85692,12.71034,42.45697,7.89686,9.04672,66.08412,98.52368,23.74183,71.60706,12.26201,7.67223,9.68935,66.45023,59.60455,79.83273,64.31344,94.77646
8630330696303481123,1,2018-05-05 10:34:00,14.31977,24.27029,41.66065,44.59841,7.51322,14.72352,12.05213,9.67757,85.07541,43.47004,29.36795,13.12206,6.42587,11.3609,7.66791,45.58672,97.91296,14.56912,82.50216,88.75787
8630330696303482204,1,2018-05-05 10:35:00,16.493,63.02783,28.90522,52.0433,9.52091,29.53439,11.02996,14.33622,78.3077,26.07741,44.21123,90.51151,6.1325,12.08359,8.50135,45.86859,18.93549,28.07908,16.00053,55.59892
3590433799317662261,1,2018-05-05 10:36:00,11.03311,63.79652,38.11814,54.97031,13.77449,32.91476,10.83202,9.63669,1.90921,9.0612,35.90879,6.29815,11.49542,12.33135,9.24827,57.75144,2.1346,49.0177,59.53779,85.4714
3590433799317661230,1,2018-05-05 10:37:00,13.38815,40.73435,84.88304,30.83651,13.42729,21.83159,11.43694,8.31603,92.41711,0.62305,53.4783,22.28453,6.53032,12.16394,8.13296,35.74045,51.26212,48.8911,65.0303,64.42448
3590433799317661651,1,2018-05-05 10:38:00,11.45653,49.42665,53.89617,62.55766,11.66854,65.48577,11.4454,12.20825,94.93866,4.52258,29.49182,73.97811,9.21783,15.00121,9.36001,39.47781,18.85034,14.87826,3.37831,52.53206
